612196 | 20658
542168 | 17763
647027 | 24603
590483 | 17516
570000 | 26985
763617 | 18269
515887 | 23382
610881 | 18373
790384 | 20810
657666 | 17832
595566 | 26501
671164 | 25064
647983 | 20021
615086 | 26872
649939 | 19474
568492 | 17521
805616 | 17895
671483 | 24069
683695 | 20952
652926 | 18230
608635 | 21141
714604 | 20179
650541 | 17138
530703 | 20593
813524 | 25207
808017 | 22632
789032 | 19111
794701 | 23070
823620 | 22173
759953 | 18211
623048 | 21975
750561 | 28691
741098 | 24597
617486 | 28466
530000 | 25458
742516 | 22059
846405 | 20356
801371 | 27876
580461 | 18857
601415 | 21126
569962 | 29074
867680 | 25622
651226 | 25482
611628 | 24407
617185 | 28477
773489 | 17282
743631 | 20218
798900 | 27477
758695 | 24294
739307 | 26252
771685 | 18389
587828 | 18324
513723 | 21539
707589 | 22609
646989 | 27779
611669 | 25261
563796 | 20870
851398 | 20859
666598 | 28561
709529 | 28386
626327 | 25340
736814 | 18354
865282 | 24133
793167 | 24660
686816 | 28399
577614 | 24219
701450 | 22960
737126 | 17274
784429 | 27263
754975 | 16832
556908 | 26943
585267 | 21959
742683 | 17186
829687 | 20582
630165 | 22436
657758 | 25893
519318 | 25422
661258 | 17047
689888 | 17905
559471 | 22155
728050 | 28090
866499 | 22331
755776 | 25334
556412 | 24998
764015 | 27770
716361 | 24121
601886 | 23483
794692 | 23099
674961 | 19266
682963 | 28321
769345 | 22521
609674 | 17122
694255 | 22525
707295 | 27124
527571 | 24188
703371 | 24907
758455 | 19675
651958 | 19637
816813 | 26342
778017 | 28586
834214 | 19323
728474 | 22400
831747 | 26968
674945 | 22992
843014 | 28107
711494 | 20394
729217 | 19493
770344 | 18411
733075 | 28425
850719 | 19332
552760 | 20588
722395 | 17944
629767 | 28136
840215 | 17052
552563 | 23517
751201 | 25321
675003 | 23343
515441 | 22986
822202 | 27087
556958 | 25338
500836 | 17249
845728 | 18643
514175 | 19716
518031 | 22454
694941 | 19985
731083 | 27966
814573 | 23266
804867 | 23884
732325 | 23003
542259 | 28753
843872 | 22110
637233 | 21248
592042 | 27560
811864 | 17628
569373 | 19356
605170 | 26513
795833 | 19684
579157 | 17841
646939 | 22101
524169 | 17941
826081 | 22218
691660 | 27598
849449 | 26238
820095 | 28398
770467 | 22462
832299 | 21068
770388 | 18976
791295 | 23749
755264 | 23607
842284 | 18744
654640 | 28804
604266 | 20473
869415 | 27021
543187 | 24133
618864 | 25652
569605 | 18974
665960 | 16799
536554 | 22575
846683 | 22807
663032 | 22661
506730 | 27828
633413 | 25681
623420 | 28269
525039 | 24216
674256 | 24721
654998 | 27122
695784 | 27893
758622 | 27897
562308 | 19247
833562 | 17959
743993 | 19868
733115 | 16694
604290 | 25434
841112 | 25545
532769 | 20465
740808 | 19032
545214 | 22080
555619 | 23157
730736 | 23625
865801 | 17376
785616 | 23055
549765 | 25072
614606 | 21029
748472 | 23470
620373 | 19153
614988 | 25640
725693 | 20807
810868 | 26187
601767 | 21084
666187 | 24511
506984 | 21120
693740 | 18674
500856 | 19465
768478 | 17778
781199 | 18794
606194 | 24283
586637 | 27074
628175 | 18409
546308 | 28529
761255 | 28278
514570 | 21231
646018 | 27770
874008 | 28218
720315 | 26531
726553 | 21498
592988 | 19938
542601 | 21013
514333 | 21731
872936 | 28816
751342 | 17686
737434 | 23836
797941 | 18549
843428 | 25381
682607 | 26280
871063 | 25284
739348 | 20694
746294 | 23092
720807 | 24833
862628 | 24519
561250 | 17642
